Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Caterpillar,19-Jan-2025,06:00:31,1,,,,0,4,,,,,,,,,,,,,,,15,13,17703,,,,5,24683,,,,30,4776,,,,18,12290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,19-Jan-2025,09:20:53,2,,,,0,4,,,,,,,,,,,,,,,15,17,20330,,,,22,17731,,,,12,7158,,,,19,9142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,19-Jan-2025,10:13:14,1,,,,0,5,,,,,,,,,,,,,,,15,24,15399,,,,10,20266,,,,19,21280,,,,32,17190,,,,17,12476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,19-Jan-2025,14:31:55,1,,,,0,5,,,,,,,,,,,,,,,15,25,2824,,,,31,4393,,,,26,19658,,,,29,16934,,,,28,26626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,19-Jan-2025,20:08:54,1,,,,0,7,,,,,,,,,,,,,,,15,8,3558,,,,10,32222,,,,21,1257,,,,27,2864,,,,2,26434,,,,1,22717,,,,32,2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,20-Jan-2025,01:35:33,1,,,,0,4,,,,,,,,,,,,,,,15,11,27487,,,,19,20006,,,,6,29213,,,,9,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,20-Jan-2025,06:00:01,1,,,,0,4,,,,,,,,,,,,,,,15,7,25679,,,,15,32528,,,,30,13482,,,,13,5751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,20-Jan-2025,17:04:12,1,,,,0,4,,,,,,,,,,,,,,,15,26,14642,,,,27,10966,,,,16,7308,,,,18,14294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,21-Jan-2025,12:05:22,1,,,,0,5,,,,,,,,,,,,,,,15,12,1408,,,,32,24016,,,,25,21052,,,,28,15850,,,,24,30282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,21-Jan-2025,17:00:07,1,,,,0,4,,,,,,,,,,,,,,,15,26,4571,,,,18,4208,,,,16,29876,,,,27,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,22-Jan-2025,02:30:37,1,,,,0,4,,,,,,,,,,,,,,,15,20,804,,,,11,16816,,,,6,11761,,,,9,1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,22-Jan-2025,06:42:41,1,,,,0,5,,,,,,,,,,,,,,,15,15,14646,,,,18,27482,,,,30,19018,,,,13,22450,,,,5,4646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,22-Jan-2025,10:17:57,1,,,,0,4,,,,,,,,,,,,,,,15,12,4052,,,,10,23770,,,,24,12421,,,,23,28538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,22-Jan-2025,14:47:52,1,,,,0,5,,,,,,,,,,,,,,,15,31,8188,,,,16,14441,,,,26,22860,,,,29,1446,,,,28,2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,22-Jan-2025,17:05:20,1,,,,0,6,,,,,,,,,,,,,,,15,26,12158,,,,18,15572,,,,27,22860,,,,23,4226,,,,16,29578,,,,31,20709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,22-Jan-2025,18:05:45,2,,,,0,6,,,,,,,,,,,,,,,15,16,27920,,,,7,11310,,,,26,4431,,,,8,17590,,,,10,20246,,,,27,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,22-Jan-2025,19:11:42,1,,,,0,5,,,,,,,,,,,,,,,15,10,18254,,,,21,17883,,,,7,24240,,,,2,22494,,,,27,18940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,23-Jan-2025,03:00:36,2,,,,0,7,,,,,,,,,,,,,,,15,6,28595,,,,9,19706,,,,7,20494,,,,4,30314,,,,11,13834,,,,30,31179,,,,20,27056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,23-Jan-2025,09:52:28,1,,,,0,4,,,,,,,,,,,,,,,15,10,22274,,,,12,31489,,,,23,25043,,,,24,19985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,23-Jan-2025,17:44:38,1,,,,0,4,,,,,,,,,,,,,,,15,16,11492,,,,26,20841,,,,23,25424,,,,10,3244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,24-Jan-2025,04:27:46,1,,,,0,4,,,,,,,,,,,,,,,15,7,19586,,,,30,10228,,,,11,5007,,,,20,29433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,24-Jan-2025,22:34:05,1,,,,0,4,,,,,,,,,,,,,,,15,3,22002,,,,2,27790,,,,1,31602,,,,21,4530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,25-Jan-2025,05:28:30,1,,,,0,5,,,,,,,,,,,,,,,15,7,26942,,,,30,24442,,,,13,11453,,,,5,30738,,,,8,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
