DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15
Selkie,238970,0.500000,Transmission,UT,10:01:00 27-Apr-2025,1.7,5.00,1,,,, ,8,,0.00,0.00,10.975,11.025,,,5.00,0.00,10.925,10.975,,,10.00,0.00,10.925,10.975,,,15.00,0.00,10.925,10.975,,,20.00,0.00,10.925,10.975,,,25.00,0.00,10.925,10.975,,,30.00,0.00,10.925,10.975,,,35.00,1.00,10.925,10.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,21:17:00 27-Apr-2025,1.7,5.00,3,,,, ,4,,0.00,0.00,11.925,11.975,,,5.00,0.00,11.925,11.975,,,10.00,0.00,11.925,11.975,,,15.00,0.00,11.925,11.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,19:07:00 29-Apr-2025,1.7,5.00,1,,,, ,5,,0.00,0.00,12.225,12.275,,,5.00,0.00,12.225,12.275,,,10.00,0.00,12.225,12.275,,,15.00,0.00,12.225,12.275,,,20.00,1.00,12.225,12.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,07:02:00 30-Apr-2025,16.7,5.00,1,,,, ,7,,0.00,0.00,11.325,11.375,,,5.00,0.00,11.275,11.325,,,10.00,0.00,11.275,11.325,,,15.00,0.00,11.275,11.325,,,20.00,0.00,11.275,11.325,,,25.00,0.00,11.275,11.325,,,30.00,0.00,11.275,11.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,17:01:00 01-May-2025,1.7,5.00,2,,,, ,9,,0.00,0.00,12.125,12.175,,,5.00,0.00,11.325,11.375,,,10.00,0.00,11.325,11.375,,,15.00,0.00,11.325,11.375,,,20.00,0.00,11.325,11.375,,,25.00,0.00,11.325,11.375,,,30.00,0.00,11.325,11.375,,,35.00,0.00,11.325,11.375,,,40.00,0.00,11.325,11.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,17:00:00 02-May-2025,16.7,5.00,1,,,, ,9,,0.00,0.00,11.575,11.625,,,5.00,0.00,11.475,11.525,,,10.00,0.00,11.475,11.525,,,15.00,0.00,11.475,11.525,,,20.00,0.00,11.475,11.525,,,25.00,0.00,11.475,11.525,,,30.00,0.00,11.475,11.525,,,35.00,0.00,11.475,11.525,,,40.00,0.00,11.525,11.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,16:00:00 03-May-2025,1.7,5.00,1,,,, ,8,,0.00,0.00,11.675,11.725,,,5.00,0.00,11.575,11.625,,,10.00,0.00,11.575,11.625,,,15.00,0.00,11.575,11.625,,,20.00,0.00,11.575,11.625,,,25.00,0.00,11.575,11.625,,,30.00,0.00,11.575,11.625,,,35.00,0.00,11.575,11.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,14:01:00 04-May-2025,1.7,5.00,1,,,, ,8,,0.00,0.00,11.625,11.675,,,5.00,0.00,11.625,11.675,,,10.00,0.00,11.625,11.675,,,15.00,0.00,11.625,11.675,,,20.00,0.00,11.625,11.675,,,25.00,0.00,11.625,11.675,,,30.00,0.00,11.575,11.625,,,35.00,0.00,11.625,11.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,15:01:00 04-May-2025,16.7,5.00,2,,,, ,8,,0.00,0.00,11.675,11.725,,,5.00,0.00,11.625,11.675,,,10.00,0.00,11.675,11.725,,,15.00,0.00,11.625,11.675,,,20.00,0.00,11.625,11.675,,,25.00,0.00,11.625,11.675,,,30.00,0.00,11.625,11.675,,,35.00,0.00,11.625,11.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,02:00:00 05-May-2025,1.7,5.00,1,,,, ,6,,0.00,0.00,11.525,11.575,,,5.00,0.00,11.525,11.575,,,10.00,0.00,11.525,11.575,,,15.00,0.00,11.525,11.575,,,20.00,0.00,11.525,11.575,,,25.00,0.00,11.525,11.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
