Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Purple,18-Jan-2025,10:18:09,1,,,,0,7,,,,,,,,,,,,,,,15,24,16749,,,,32,23154,,,,12,16068,,,,23,8394,,,,10,22078,,,,15,9375,,,,19,24052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,18-Jan-2025,11:00:36,1,,,,0,4,,,,,,,,,,,,,,,15,32,19248,,,,10,25298,,,,12,27508,,,,25,30322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,18-Jan-2025,17:07:20,1,,,,0,4,,,,,,,,,,,,,,,15,27,7085,,,,31,14851,,,,26,3111,,,,16,14906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,18-Jan-2025,19:00:31,1,,,,0,4,,,,,,,,,,,,,,,15,7,2564,,,,8,10871,,,,21,3480,,,,16,22860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,19-Jan-2025,05:25:32,1,,,,0,5,,,,,,,,,,,,,,,15,30,870,,,,7,2238,,,,5,25114,,,,20,4267,,,,13,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,19-Jan-2025,18:00:01,2,,,,0,4,,,,,,,,,,,,,,,15,27,28781,,,,8,5268,,,,16,14217,,,,7,2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,19-Jan-2025,20:32:04,1,,,,0,4,,,,,,,,,,,,,,,15,2,25654,,,,1,7909,,,,8,26556,,,,21,29839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,19-Jan-2025,23:26:13,1,,,,0,7,,,,,,,,,,,,,,,15,19,32432,,,,3,25447,,,,17,30046,,,,22,11330,,,,2,14262,,,,4,15923,,,,1,23330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,20-Jan-2025,04:38:32,1,,,,0,7,,,,,,,,,,,,,,,15,13,27021,,,,30,2448,,,,6,12919,,,,11,25730,,,,20,28602,,,,5,21929,,,,7,27744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,20-Jan-2025,05:00:01,1,,,,0,5,,,,,,,,,,,,,,,15,30,32326,,,,11,14571,,,,13,6799,,,,20,31096,,,,5,19206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,20-Jan-2025,10:56:46,1,,,,0,5,,,,,,,,,,,,,,,15,24,31806,,,,19,1797,,,,12,31610,,,,25,14199,,,,10,15260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,20-Jan-2025,12:09:50,1,,,,0,4,,,,,,,,,,,,,,,15,32,31265,,,,12,7526,,,,25,28574,,,,24,3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,20-Jan-2025,18:00:38,1,,,,0,8,,,,,,,,,,,,,,,15,7,19642,,,,16,15934,,,,27,12393,,,,18,5294,,,,23,9196,,,,8,31425,,,,26,17032,,,,10,28905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,20-Jan-2025,22:17:31,1,,,,0,5,,,,,,,,,,,,,,,15,2,13200,,,,1,4617,,,,22,15835,,,,32,4603,,,,17,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,21-Jan-2025,07:16:58,1,,,,0,4,,,,,,,,,,,,,,,15,15,589,,,,22,1290,,,,5,14700,,,,14,19470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,21-Jan-2025,12:01:58,2,,,,0,5,,,,,,,,,,,,,,,15,32,18915,,,,25,12546,,,,12,4056,,,,28,30869,,,,11,29358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,21-Jan-2025,16:00:05,1,,,,0,6,,,,,,,,,,,,,,,15,31,11184,,,,27,7721,,,,18,16603,,,,16,16970,,,,26,20646,,,,4,19725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,21-Jan-2025,17:01:34,1,,,,0,4,,,,,,,,,,,,,,,15,8,4166,,,,27,13778,,,,23,23814,,,,18,10555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,22-Jan-2025,07:34:22,1,,,,0,4,,,,,,,,,,,,,,,15,24,11257,,,,15,13080,,,,22,31300,,,,14,16390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,22-Jan-2025,16:02:00,1,,,,0,4,,,,,,,,,,,,,,,15,31,8570,,,,28,11324,,,,26,6576,,,,16,17966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,22-Jan-2025,17:09:16,1,,,,0,4,,,,,,,,,,,,,,,15,26,26810,,,,23,8308,,,,27,25016,,,,16,21834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,22-Jan-2025,19:11:19,1,,,,0,7,,,,,,,,,,,,,,,15,10,13716,,,,27,15359,,,,16,27739,,,,2,16879,,,,8,14730,,,,7,20745,,,,1,12500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,23-Jan-2025,05:30:16,1,,,,0,4,,,,,,,,,,,,,,,15,30,20978,,,,20,28089,,,,5,16533,,,,15,10232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,23-Jan-2025,13:17:17,1,,,,0,6,,,,,,,,,,,,,,,15,32,26239,,,,25,4378,,,,28,8410,,,,29,25708,,,,12,24158,,,,26,9989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,23-Jan-2025,17:48:10,2,,,,0,4,,,,,,,,,,,,,,,15,18,22733,,,,8,13575,,,,7,2263,,,,27,28390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,23-Jan-2025,18:30:13,1,,,,0,4,,,,,,,,,,,,,,,15,18,22408,,,,27,17784,,,,23,4141,,,,29,31602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,23-Jan-2025,21:49:17,2,,,,0,8,,,,,,,,,,,,,,,15,22,15542,,,,32,28621,,,,17,17557,,,,1,5576,,,,14,12954,,,,2,21967,,,,21,16314,,,,3,24733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,24-Jan-2025,02:01:13,1,,,,0,4,,,,,,,,,,,,,,,15,6,29063,,,,11,3040,,,,4,16509,,,,9,23878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,24-Jan-2025,13:02:23,1,,,,0,7,,,,,,,,,,,,,,,15,12,5737,,,,29,7542,,,,11,28310,,,,25,26994,,,,32,764,,,,31,4659,,,,28,24268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,24-Jan-2025,17:17:29,2,,,,0,7,,,,,,,,,,,,,,,15,18,2663,,,,27,9668,,,,26,24505,,,,8,8112,,,,16,28066,,,,23,299,,,,7,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,24-Jan-2025,20:51:06,1,,,,0,4,,,,,,,,,,,,,,,15,1,25923,,,,14,20523,,,,3,23697,,,,2,12916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,24-Jan-2025,22:51:55,1,,,,0,5,,,,,,,,,,,,,,,15,17,18412,,,,14,7099,,,,22,16362,,,,3,24042,,,,16,20790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,25-Jan-2025,06:22:56,1,,,,0,4,,,,,,,,,,,,,,,15,30,27942,,,,22,26758,,,,13,5545,,,,14,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,25-Jan-2025,09:44:30,1,,,,0,5,,,,,,,,,,,,,,,15,12,11008,,,,24,32023,,,,19,30418,,,,10,1579,,,,23,3698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,25-Jan-2025,15:06:58,1,,,,0,5,,,,,,,,,,,,,,,15,26,14954,,,,31,3505,,,,16,28416,,,,29,18534,,,,28,3694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,25-Jan-2025,17:23:05,1,,,,0,5,,,,,,,,,,,,,,,15,16,29082,,,,26,2690,,,,27,5804,,,,8,21527,,,,18,17008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,25-Jan-2025,18:28:01,2,,,,0,7,,,,,,,,,,,,,,,15,16,27620,,,,10,31728,,,,21,13866,,,,8,23557,,,,27,16388,,,,23,31709,,,,7,26986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,26-Jan-2025,04:40:46,1,,,,0,6,,,,,,,,,,,,,,,15,5,23183,,,,13,16357,,,,30,28648,,,,11,17170,,,,20,20478,,,,7,9609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,26-Jan-2025,05:54:51,1,,,,0,4,,,,,,,,,,,,,,,15,30,5909,,,,15,3548,,,,5,25734,,,,13,31479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,26-Jan-2025,07:07:24,1,,,,0,4,,,,,,,,,,,,,,,15,15,27757,,,,14,23618,,,,22,21939,,,,5,13772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,27-Jan-2025,05:44:27,2,,,,0,7,,,,,,,,,,,,,,,15,30,18812,,,,14,8753,,,,20,14848,,,,13,22222,,,,5,29964,,,,7,8875,,,,22,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,27-Jan-2025,07:01:51,1,,,,0,5,,,,,,,,,,,,,,,15,15,5361,,,,5,115,,,,23,4382,,,,22,768,,,,13,30050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,27-Jan-2025,12:12:53,2,,,,0,6,,,,,,,,,,,,,,,15,32,4662,,,,12,20200,,,,25,7554,,,,29,7260,,,,28,666,,,,11,18231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,27-Jan-2025,13:20:25,3,,,,0,4,,,,,,,,,,,,,,,15,29,5157,,,,25,12304,,,,31,18050,,,,26,3463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
