Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Sunbeetle,23-Nov-2024,04:06:11,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,17,17964,,,,19,25973,,,,3,22350,,,,4,31095,,,,2,15692,,,,6,14135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,23-Nov-2024,08:39:47,2,1.000000,,,0,4,,,,,,,,,,,,,,,15,30,18468,,,,11,27258,,,,13,17773,,,,5,18801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,23-Nov-2024,12:00:00,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,23,8058,,,,24,14640,,,,22,24990,,,,15,25953,,,,13,22450,,,,14,8179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,24-Nov-2024,06:08:18,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,6,1858,,,74,9,23352,,,,11,11029,,,,4,22499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,24-Nov-2024,08:11:56,2,1.000000,,,0,6,,,,,,,,,,,,,,,15,5,22756,,,,20,32173,,,,9,24772,,,,7,30577,,,,11,11088,,,,6,13079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,24-Nov-2024,11:05:53,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,15,25423,,,,5,5153,,,,13,25212,,,,14,17819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,24-Nov-2024,11:58:23,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,13,5313,,,,15,14757,,,,22,12021,,,,23,2387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,25-Nov-2024,05:31:01,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,17,2698,,,,9,14172,,,,6,23458,,,,3,15539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,25-Nov-2024,19:19:25,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,29,19550,,,,31,22889,,,,26,18470,,,,18,10023,,,,25,15488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,26-Nov-2024,04:31:23,1,2.000000,,,0,6,,,,,,,,,,,,,,,15,19,14925,,,,17,6806,,,,3,3923,,,,4,4742,,,,6,730,,,,9,16521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,26-Nov-2024,08:01:16,1,2.000000,,,0,4,,,,,,,,,,,,,,,15,5,3052,,,,20,18307,,,,11,5929,,,,30,4395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,26-Nov-2024,10:06:27,1,2.000000,,,0,8,,,,,,,,,,,,,,,15,15,17984,,,,5,12518,,,,13,24830,,,,18,19722,,,,30,10526,,,,14,23187,,,,22,24338,,,,20,9987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,26-Nov-2024,16:48:52,1,2.000000,,,0,6,,,,,,,,,,,,,,,15,29,9025,,,,32,2733,,,,25,10816,,,,28,9468,,,,12,3596,,,,11,29453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,27-Nov-2024,08:00:23,1,2.000000,,,0,4,,,,,,,,,,,,,,,15,5,14649,,,,30,12431,,,,11,31735,,,,20,23076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,27-Nov-2024,11:02:17,1,2.000000,,,0,4,,,,,,,,,,,,,,,15,15,5690,,,,13,14319,,,,14,13954,,,,5,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,28-Nov-2024,07:00:01,4,2.000000,,,0,4,,,,,,,,,,,,,,,15,7,4669,,,,11,6657,,,,6,21159,,,,30,12989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
