"","id","date","lon","lat","x","y","x.se","y.se","logit_g","logit_g.se","g"
"9254","Selkie",2025-04-06 18:00:00,0.189122301816335,50.4098872175994,21.0529983358462,6484.61850177582,4.48252202896719,3.21732423949058,2.48597412017341,1.59800893132,0.923152685567472
"9255","Selkie",2025-04-06 20:00:00,0.199021072944151,50.4125298333904,22.1549244972739,6485.07885638931,3.05154687050372,1.98926790138773,2.55734524865767,1.42782225903406,0.928065427846581
"9256","Selkie",2025-04-06 22:00:00,0.269413600236006,50.4269869447523,29.9909847910548,6487.5978021361,2.2554806714136,1.39225396015293,2.55755179264533,1.38520120165454,0.928079215501949
"9257","Selkie",2025-04-07,0.353940481861011,50.4401855505151,39.4004742118937,6489.8981464886,2.83092312400171,1.76572139553414,2.38304193925086,1.52256955256342,0.915524992314613
"9258","Selkie",2025-04-07 02:00:00,0.402142961128735,50.4531131111641,44.76634965895,6492.15187653475,2.46749961438016,1.67054740371024,2.30720147172946,1.58682055909847,0.909471708172259
"9259","Selkie",2025-04-07 04:00:00,0.439243674645921,50.4627910316848,48.8963821957503,6493.83948493948,0.60283527264501,0.433312136581036,2.22223158663837,1.63536242349198,0.902228226210441
"9260","Selkie",2025-04-07 06:00:00,0.490780675730618,50.451551316204,54.6334549135111,6491.87956767634,2.5213469408548,1.64586969446036,2.16560975333397,1.65009238777692,0.897118466168887
"9261","Selkie",2025-04-07 08:00:00,0.507583545849297,50.4533378860917,56.503941858988,6492.19106821322,2.66023628594363,1.67357873354461,2.13517148131046,1.65269379317751,0.894274955613154
"9262","Selkie",2025-04-07 10:00:00,0.48896034774411,50.4623377785165,54.4308169289763,6493.76044018465,2.65937602457208,1.66150015196653,2.11870452057357,1.6026557894392,0.892707910961751
"9263","Selkie",2025-04-07 12:00:00,0.432024734359373,50.4827970537125,48.0927734389846,6497.32917957557,1.7218767119586,1.13599037233789,2.04545468303556,1.57380633352005,0.885487533418405
"9264","Selkie",2025-04-07 14:00:00,0.438398898768563,50.4846666620712,48.8023421752483,6497.65537537154,1.81341763109667,1.20224208736957,2.01154924771523,1.61726566772835,0.882004351990618
"9265","Selkie",2025-04-07 16:00:00,0.451961394288985,50.4624508945953,50.3121122704678,6493.78016690917,0.705608869678079,0.524570339034818,1.89652920255232,1.77458338752229,0.869498195312108
"9266","Selkie",2025-04-07 18:00:00,0.485869157635514,50.4920957038612,54.0867072201421,6498.95166928947,0.0512379877222609,0.0382138668846724,1.92036762616242,1.77683380207184,0.872179423163944
"9267","Selkie",2025-04-07 20:00:00,0.517974689672871,50.4876508000483,57.6606786981878,6498.17605314983,1.70387554062825,1.14057508206137,2.05331774556271,1.68494758333189,0.886282429423884
